genus	ERR2213660	ERR2213661	ERR2213662	ERR2213663	ERR2213664	ERR2213665	ERR2213666	ERR2213667	ERR2213668	ERR2213669	ERR2213670	ERR2213671	ERR2213672	ERR2213673	ERR2213674	ERR2213675	ERR2213676	ERR2213677	ERR2213678	ERR2213679	ERR2213680	ERR2213681	ERR2213682	ERR2213683	ERR2213684	ERR2213685	ERR2213686	ERR2213687	ERR2213688	ERR2213689	ERR2213690	ERR2213691	ERR2213692	ERR2213693	ERR2213694	ERR2213695	ERR2213696	ERR2213697	ERR2213698	ERR2213699	ERR2213700	ERR2213701	ERR2213702	ERR2213703	ERR2213704	ERR2213705	ERR2213706	ERR2213707	ERR2213708	ERR2213709	ERR2213710	ERR2213711	ERR2213712	ERR2213713	ERR2213714	ERR2213715	ERR2213716	ERR2213717	ERR2213718	ERR2213719	ERR2213720	ERR2213721	ERR2213722	ERR2213723	ERR2213724	ERR2213725	ERR2213726	ERR2213727	ERR2213728	ERR2213729	ERR2213730	ERR2213731	ERR2213732	ERR2213733	ERR2213734	ERR2213735	ERR2213736	ERR2213737	ERR2213738	ERR2213739	ERR2213740	ERR2213741	ERR2213742	ERR2213743	ERR2235210	ERR2235211	ERR2235212	ERR2235213	ERR2235214	ERR2235215	ERR2235216	ERR2235217	ERR2235218	ERR2235219	ERR2235220	ERR2235221	ERR2235222	ERR2235223	ERR2235224	ERR2235225	ERR2235226	ERR2235227	ERR2235228	ERR2235229	ERR2235230	ERR2235231	ERR2235232	ERR2235233	ERR2235234	ERR2235235	ERR2235236	ERR2235237	ERR2235238	ERR2235239	ERR2235240	ERR2235241	ERR2235242	ERR2235243	ERR2235244	ERR2235245	ERR2235246	ERR2235247	ERR2235248	ERR2235249	ERR2235250	ERR2235251	ERR2235252	ERR2235253	ERR2235254	ERR2235255	ERR2235256	ERR2235257	ERR2235258	ERR2235259	ERR2235260	ERR2235261	ERR2235262	ERR2235263	ERR2235264	ERR2235265	ERR2235266	ERR2235267	ERR2235268	ERR2235269	ERR2235270	ERR2235271	ERR2235272	ERR2235273	ERR2235274	ERR2235275	ERR2235276	ERR2235277	ERR2235278	ERR2235279	ERR2235280	ERR2235281	ERR2235282	ERR2235283	ERR2235284	ERR2235285	ERR2235286	ERR2235287	ERR2235288	ERR2235289	ERR2235290	ERR2235291	ERR2235292	ERR2235293	ERR2235294	ERR2235295	ERR2235296	ERR2235297	ERR2235298	ERR2235299	ERR2235300	ERR2235301	ERR2235302	ERR2235303	ERR2235304	ERR2235305	ERR2235306	ERR2235307	ERR2235308	ERR2235309	ERR2235310	ERR2235311	ERR2235312	ERR2235313	ERR2235314	ERR2235315	ERR2235316	ERR2235317	ERR2235318	ERR2235319	ERR2235320	ERR2235321	ERR2235322	ERR2235323	ERR2235324	ERR2235325	ERR2235326	ERR2235327	ERR2235328	ERR2235329	ERR2235330	ERR2235331	ERR2235332	ERR2235333	ERR2235334	ERR2235335	ERR2235336	ERR2235337	ERR2235338	ERR2235339	ERR2235340	ERR2235341	ERR2235342	ERR2235343	ERR2235344
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	0	0	0	2.04302	0	0	0	0	0	0	0.27888	0	0	0.89883	0	0	0	0	0	0	1.50437	0.00716	0.0467	0.05633	0	0	0	0	0	0	0	0	0	0.05955	0	0	0	0	0	0	0	0	0	0.15504	0.12159	0	0.34239	0.19493	0.07795	0.87376	0.43544	0	0.7009	0.82478	0	0	0	0.08782	0	0	0	0	0	0	0.07847	0	0	1.78783	0.3578	0.67443	0	0	0.83367	0	0.23172	0	0	0	0	0	0	0	0	0.00552	0.16923	0	0	0.10238	0	0.17216	0	0	0.11358	0	0	0.5078	0	0.03928	0	0	0	0.18474	0.02795	0	0.01029	0	0	0	0	0.04661	0.16621	0	0.06234	0.58013	0	0	0.00583	0	0	0	0	0.15667	0.24735	0.25852	2.07802	1.79912	0.01555	0	0	0.16189	0	0	0	0	0.02215	0.20136	0	0	0	0	0	0	0	0	0.22898	0.21615	0.22501	0.46479	0.23868	0.29138	0	0.48192	0.06966	0	0	0	0	0.04015	0.03251	0.08182	0.03023	0	0	0	0	0	0	0	0	0	0.04097	0	0	0.26076	0.02538	0.18512	1.88468	0.08084	0.03384	0.07301	0.11027	0.07966	0.00478	0.00581	0.11841	0.11454	0	0	0	0	0	0.14284	0	0.03607	0.33019	0.08402	0	0	0	0.07539	0	0	0.10203	0	0	0	0	0.02055	0.12969	0.05562	0.33559	0.95658	0	0	0	0.06446	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0	0	0	0	0.06475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00821	0	0	0.0352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11326	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00753	0	0	0	0	0.00687	0	0	0	0	0	0	0	0	0	0	0.00604	0	0	0	0	0	0.00612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00817	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0.00646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01088	0.00974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0066	0	0	0	0	0	0	0.008	0	0	0	0	0	0.00721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.01065	0.01293	0	0	0	0	0	0	0	0.00489	0	0	0	0	0	0	0	0	0	0	0	0.00932	0	0.00154	0.00657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00255	0	0	0	0.007	0.04247	0	0.00423	0	0	0	0	0	0	0.00438	0	0	0	0	0	0.0103	0	0	0	0	0	0.0034	0	0	0	0	0	0	0	0	0.00036	0	0	0	0	0	0	0	0	0	0.00787	0	0	0	0.0034	0.00429	0.01512	0	0	0.00232	0	0	0	0	0	0.00167	0	0	0.00171	0	0	0.03928	0	0.00471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01872	0	0.00328	0.04009	0	0	0.00167	0	0	0	0.01285	0	0.00538	0	0	0	0	0	0.03471	0	0	0	0	0.01413	0.01221	0.00215	0.03865	0	0	0	0	0	0	0	0.07151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00057	0	0	0	0	0	0	0	0	0	0	0	0.00102	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetales_noname|g__Tropheryma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__Dermatophilaceae_unclassified	0	0	0	0	0	0	0	0.04201	0	0	0	0	0	0	0.02759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01939	0	0	0	0	0	0	0	0	0	0	0.02135	0	0	0	0	0	0	0	0	0.01794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	0.03736	0.0067	0.00605	0	0.03507	0	0	0	0	0.03482	0	0.00286	0.02673	0	0.07606	0	0	0	0	0	0	0.00667	0	0.00148	0.00595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00397	0	0	0	0.01554	0.10227	0	0.00321	0	0	0	0	0.01979	0	0.00926	0.02999	0	0.01047	0.00308	0	0.02205	0	0.00537	0	0	0.00294	0.02612	0.0038	0.03488	0	0.00266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00804	0	0	0	0.00333	0.00575	0.01612	0.01486	0	0.03519	0.01503	0	0.01013	0.00623	0	0.00375	0	0	0	0	0.00447	0.03987	0	0.08056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00086	0	0	0	0	0	0	0.00556	0	0	0.00062	0	0	0	0.00373	0	0	0	0	0	0	0	0	0	0.0173	0.04187	0.04856	0.06096	0	0	0.00551	0	0.0085	0	0	0.02372	0	0.0263	0	0.00227	0.00991	0	0	0.09578	0	0	0.00097	0.00571	0	0	0	0.01198	0.00194	0	0.00781	0	0.35137	0	0	0	0	0.00134	0	0	0.00805	0	0.00687	0	0.10744	0	0.00219	0	0	0	0.00487	0	0.01617	0.02156	0	0	0.05055	0.04445	0	0	0
